type,name,architecture,library
Text Section (Local),-[DBGGDBStackFrame setPBXStackFrame:],X86_64,
Text Section (Local),-[DBGGDBStackFrame setRegisters:],X86_64,
Text Section (Local),-[DBGGDBStackFrame stackFrame:requestDisassembly:],X86_64,
Text Section (Local),-[DBGGDBStackFrame updateExpressionValues],X86_64,
Text Section (Local),-[DBGGDBStream dealloc],X86_64,
Text Section (Local),-[DBGGDBStream init],X86_64,
Text Section (Local),-[DBGGDBStream name],X86_64,
Text Section (Local),-[DBGGDBStream sendStreamDidEnd],X86_64,
Text Section (Local),-[DBGGDBStream setName:],X86_64,
Text Section (Local),-[DBGGDBStream setStreamConsumer:],X86_64,
Text Section (Local),-[DBGGDBStream setUpstreamStream:],X86_64,
Text Section (Local),-[DBGGDBStream sourceStream],X86_64,
Text Section (Local),-[DBGGDBStream streamConsumer],X86_64,
Text Section (Local),-[DBGGDBStream upstreamStream],X86_64,
Text Section (Local),-[DBGGDBStreamLogger _logMessage:forStream:],X86_64,
